round	variant	phase	occurrence	elapsed_ms
6	optimized	Random read (32 threads) 5151000 items	1	1193
6	optimized	Removed 2575500 items	1	9897
6	optimized	Compacted	1	3695
6	baseline	Bulk loaded 5000000 items	1	14202
6	baseline	Wrote 1000 individual items	1	46
6	baseline	Wrote 100 batches of 1000 items	1	1530
6	baseline	Wrote 50000 individual items	1	3518
6	baseline	len()	1	0
6	baseline	Random read 1000000 items	1	1597
6	baseline	Random read 1000000 items	2	1544
6	baseline	Random range read 500000 x 10 elements	1	1599
6	baseline	Random range read 500000 x 10 elements	2	1622
6	baseline	Random read (4 threads) 5151000 items	1	2038
6	baseline	Random read (8 threads) 5151000 items	1	1154
6	baseline	Random read (16 threads) 5151000 items	1	1202
6	baseline	Random read (32 threads) 5151000 items	1	1164
6	baseline	Removed 2575500 items	1	9799
6	baseline	Compacted	1	3765
7	baseline	Bulk loaded 5000000 items	1	13990
7	baseline	Wrote 1000 individual items	1	44
7	baseline	Wrote 100 batches of 1000 items	1	1507
7	baseline	Wrote 50000 individual items	1	3425
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1585
7	baseline	Random read 1000000 items	2	1515
7	baseline	Random range read 500000 x 10 elements	1	1690
7	baseline	Random range read 500000 x 10 elements	2	1578
7	baseline	Random read (4 threads) 5151000 items	1	2043
7	baseline	Random read (8 threads) 5151000 items	1	1155
7	baseline	Random read (16 threads) 5151000 items	1	1357
7	baseline	Random read (32 threads) 5151000 items	1	1162
7	baseline	Removed 2575500 items	1	9571
7	baseline	Compacted	1	3666
7	optimized	Bulk loaded 5000000 items	1	14135
7	optimized	Wrote 1000 individual items	1	45
7	optimized	Wrote 100 batches of 1000 items	1	1610
7	optimized	Wrote 50000 individual items	1	3449
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1627
7	optimized	Random read 1000000 items	2	1594
7	optimized	Random range read 500000 x 10 elements	1	1650
7	optimized	Random range read 500000 x 10 elements	2	1649
7	optimized	Random read (4 threads) 5151000 items	1	2072
7	optimized	Random read (8 threads) 5151000 items	1	1159
7	optimized	Random read (16 threads) 5151000 items	1	1216
7	optimized	Random read (32 threads) 5151000 items	1	1200
7	optimized	Removed 2575500 items	1	9777
7	optimized	Compacted	1	3807
