round	variant	phase	occurrence	elapsed_ms
6	baseline	Random read (8 threads) 5151000 items	1	2477
6	baseline	Random read (16 threads) 5151000 items	1	2152
6	baseline	Random read (32 threads) 5151000 items	1	2211
6	baseline	Removed 2575500 items	1	10364
6	baseline	Compacted	1	3903
7	baseline	Bulk loaded 5000000 items	1	14470
7	baseline	Wrote 1000 individual items	1	46
7	baseline	Wrote 100 batches of 1000 items	1	1551
7	baseline	Wrote 50000 individual items	1	3567
7	baseline	len()	1	0
7	baseline	Random read 1000000 items	1	1648
7	baseline	Random read 1000000 items	2	1605
7	baseline	Random range read 500000 x 10 elements	1	1663
7	baseline	Random range read 500000 x 10 elements	2	1651
7	baseline	Random read (4 threads) 5151000 items	1	2156
7	baseline	Random read (8 threads) 5151000 items	1	2176
7	baseline	Random read (16 threads) 5151000 items	1	2233
7	baseline	Random read (32 threads) 5151000 items	1	2188
7	baseline	Removed 2575500 items	1	10124
7	baseline	Compacted	1	3855
7	optimized	Bulk loaded 5000000 items	1	14828
7	optimized	Wrote 1000 individual items	1	46
7	optimized	Wrote 100 batches of 1000 items	1	1638
7	optimized	Wrote 50000 individual items	1	3575
7	optimized	len()	1	0
7	optimized	Random read 1000000 items	1	1663
7	optimized	Random read 1000000 items	2	1655
7	optimized	Random range read 500000 x 10 elements	1	1659
7	optimized	Random range read 500000 x 10 elements	2	1688
7	optimized	Random read (4 threads) 5151000 items	1	2149
7	optimized	Random read (8 threads) 5151000 items	1	2125
7	optimized	Random read (16 threads) 5151000 items	1	2119
7	optimized	Random read (32 threads) 5151000 items	1	2160
7	optimized	Removed 2575500 items	1	10181
7	optimized	Compacted	1	3862
